Category,Message
legitimate,I gotta collect da car at 6 lei.
legitimate,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
legitimate,Probably earlier than that if the station's where I think it is
phishing,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
legitimate,Good Morning plz call me sir
phishing,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
legitimate,"Uh, heads up we don't have THAT much left"
legitimate,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
legitimate,"Aight, sounds good. When do you want me to come down?"
legitimate,Wat would u like 4 ur birthday?
legitimate,I love working from home :)
legitimate,And miss vday the parachute and double coins??? U must not know me very well...
legitimate,"Sorry, I'll call later"
legitimate,My sister got placed in birla soft da:-)
phishing,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
legitimate,Wah... Okie okie... Muz make use of e unlimited... Haha...
legitimate,"There're some people by mu, I'm at the table by lambda"
legitimate,And stop being an old man. You get to build snowman snow angels and snowball fights.
legitimate,ELLO BABE U OK?
legitimate,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u
legitimate,Then u going ikea str aft dat?
legitimate,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
legitimate,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
legitimate,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
legitimate,You want to go?
phishing,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
legitimate,Its not that time of the month nor mid of the time?
legitimate,Fffff. Can you text kadeem or are you too far gone
legitimate,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
legitimate,Is fujitsu s series lifebook good?
legitimate,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
legitimate,Dont know you bring some food
legitimate,No current and food here. I am alone also
legitimate,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
legitimate,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
legitimate,Ok
legitimate,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.
legitimate,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
legitimate,Omg it could snow here tonite!
phishing,Call from 08702490080 - tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
phishing,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Â£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
legitimate,Carry on not disturbing both of you
legitimate,What pa tell me.. I went to bath:-)
legitimate,Jus finished avatar nigro
legitimate,R u over scratching it?
legitimate,Hope you are having a great day.
legitimate,Did either of you have any idea's? Do you know of anyplaces doing something?
legitimate,"My planning usually stops at ""find hella weed, smoke hella weed"""
legitimate,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
legitimate,Excellent! Are you ready to moan and scream in ecstasy?
phishing,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. AÂ£1.50 minAPN LS278BB
legitimate,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
phishing,"WELL DONE! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins"
legitimate,K...k:)why cant you come here and search job:)
legitimate,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
legitimate,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
legitimate,Can Ã¼ call me at 10:10 to make sure dat i've woken up...
legitimate,Hey we can go jazz power yoga hip hop kb and yogasana
legitimate,The battery is for mr adewale my uncle. Aka Egbon
legitimate,I cant pick the phone right now. Pls send a message
legitimate,Wait 2 min..stand at bus stop
legitimate,Oh ic. I thought you meant mary jane.
legitimate,Haha... Really oh no... How? Then will they deduct your lesson tmr?
legitimate,Nah im goin 2 the wrks with j wot bout u?
legitimate,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
legitimate,Good night. Am going to sleep.
legitimate,"Aight I'll grab something to eat too, text me when you're back at mu"
legitimate,K...k:)why cant you come here and search job:)
legitimate,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
legitimate,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
legitimate,Howz that persons story
phishing,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
legitimate,LOL that would be awesome payback.
phishing,it to 80488. Your 500 free text messages are valid until 31 December 2005.
legitimate,Yes :)it completely in out of form:)clark also utter waste.
legitimate,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
legitimate,Thanks. It was only from tescos but quite nice. All gone now. Speak soon
legitimate,What's a feathery bowa? Is that something guys have that I don't know about?
legitimate,Even i cant close my eyes you are in me our vava playing umma :-D
legitimate,2 laptop... I noe infra but too slow lar... I wan fast one
phishing,You have won a guaranteed Â£200 award or even Â£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
legitimate,Nvm it's ok...
legitimate,Enjoy ur life. . Good night
legitimate,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march â¦ ish!
legitimate,I had askd u a question some hours before. Its answer
legitimate,Thats cool. Where should i cum? On you or in you? :)
legitimate,Delhi and chennai still silent.
legitimate,Lol alright i was thinkin that too haha
phishing,Reply to win Â£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
legitimate,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
legitimate,Shhhhh nobody is supposed to know!
legitimate,"Sorry, I'll call later"
legitimate,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt;"
legitimate,Hey i will be late... i'm at amk. Need to drink tea or coffee
legitimate,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
phishing,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
legitimate,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
legitimate,S..antha num corrct dane
legitimate,No calls..messages..missed calls
legitimate,"Sorry, I'll call later"
legitimate,The basket's gettin full so I might be by tonight
legitimate,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
legitimate,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!
phishing,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
legitimate,Eh den sat u book e kb liao huh...
legitimate,Have you been practising your curtsey?
legitimate,Shall i come to get pickle
legitimate,Lol boo I was hoping for a laugh
legitimate,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN AÂ£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
legitimate,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
legitimate,LMAO where's your fish memory when I need it?
legitimate,But i'll b going 2 sch on mon. My sis need 2 take smth.
legitimate,Idea will soon get converted to live:)
phishing,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...
legitimate,S....s...india going to draw the series after many years in south african soil..
legitimate,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
legitimate,Can't take any major roles in community outreach. You rock mel
legitimate,Shopping lor. Them raining mah hard 2 leave orchard.
legitimate,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.
legitimate,See the forwarding message for proof
legitimate,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
legitimate,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
legitimate,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1."
legitimate,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
phishing,Great News! Call FREEFONE 08006344447 to claim your guaranteed Â£1000 CASH or Â£2000 gift. Speak to a live operator NOW!
legitimate,Ambrith..madurai..met u in arun dha marrge..remembr?
legitimate,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time
legitimate,"Princess, is your kitty shaved or natural?"
legitimate,"Better than bb. If he wont use it, his wife will or them doctor"
legitimate,Ya it came a while ago
legitimate,From tomorrow onwards eve 6 to 3 work.
legitimate,Anything lor but toa payoh got place 2 walk meh...
legitimate,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
phishing,"U can WIN Â£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
legitimate,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
legitimate,U having lunch alone? I now so bored...
legitimate,"Yes obviously, but you are the eggs-pert and the potato headâ¦ Speak soon!"
legitimate,"Nah man, my car is meant to be crammed full of people"
legitimate,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
legitimate,Kallis is ready for bat in 2nd innings
legitimate,Thanx but my birthday is over already.
legitimate,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
legitimate,"I noe la... U wana pei bf oso rite... K lor, other days den..."
legitimate,"Yes, i'm small kid.. And boost is the secret of my energy.."
legitimate,IM GONNA MISS U SO MUCH
legitimate,Is avatar supposed to have subtoitles
legitimate,Simply sitting and watching match in office..
legitimate,You can jot down things you want to remember later.
legitimate,Oh sorry please its over
legitimate,Hey are we going for the lo lesson or gym?
legitimate,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss."
legitimate,You always make things bigger than they are
legitimate,Ã dun wan to watch infernal affair?
legitimate,"Me not waking up until 4 in the afternoon, sup"
phishing,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
legitimate,I can send you a pic if you like :)
legitimate,Okay... I booked all already... Including the one at bugis.
legitimate,"Aight fuck it, I'll get it later"
legitimate,No de. But call me after some time. Ill tell you k
legitimate,So dont use hook up any how
legitimate,How much is blackberry bold2 in nigeria.
legitimate,Hi where you. You in home or calicut?
legitimate,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx
phishing,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!"
legitimate,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
legitimate,Y so late but i need to go n get da laptop...
legitimate,"Sir, I am waiting for your mail."
legitimate,.Please charge my mobile when you get up in morning.
legitimate,"Nothing, i got msg frm tht unknown no.."
legitimate,Ugh fuck it I'm resubbing to eve
legitimate,He didn't see his shadow. We get an early spring yay
legitimate,I did. One slice and one breadstick. Lol
legitimate,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ..."
legitimate,Is there any training tomorrow?
phishing,"URGENT! Your mobile No *********** WON a Â£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
legitimate,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color
legitimate,Cos daddy arranging time c wat time fetch Ã¼ mah...
legitimate,Then. You are eldest know.
legitimate,Who's there say hi to our drugdealer
legitimate,Its hard to believe things like this. All can say lie but think twice before saying anything to me.
phishing,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
phishing,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
legitimate,Good night my dear.. Sleepwell&amp;Take care
legitimate,That is wondarfull song
phishing,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
legitimate,Yar lor actually we quite fast... Cos da ge slow wat... Haha...
legitimate,Must come later.. I normally bathe him in da afternoon mah..
legitimate,"Trust me. Even if isn't there, its there."
legitimate,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
phishing,85233 FREE>Ringtone!Reply REAL
legitimate,I can take you at like noon
legitimate,Where is it. Is there any opening for mca.
legitimate,I'm aight. Wat's happening on your side.
legitimate,I'm done oredi...
legitimate,"you are sweet as well, princess. Please tell me your likes and dislikes in bed..."
legitimate,How are you. Wish you a great semester
legitimate,Moji i love you more than words. Have a rich day
legitimate,Dude how do you like the buff wind.
legitimate,"alright babe, justthought iÂd sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."
phishing,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX Â£1.50
legitimate,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
legitimate,S:-)kallis wont play in first two odi:-)
legitimate,Then get some cash together and I'll text jason
legitimate,"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me"
phishing,"Final Chance! Claim ur Â£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Subs 16"
phishing,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
legitimate,"Probably, want to pick up more?"
legitimate,I'm done...
legitimate,Are you the cutest girl in the world or what
legitimate,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
phishing,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
legitimate,Oh Howda gud gud.. Mathe en samachara chikku:-)
legitimate,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
legitimate,Audrie lousy autocorrect
legitimate,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
legitimate,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
legitimate,I fetch yun or u fetch?
legitimate,Thank you. I like you as well...
legitimate,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
phishing,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk"
legitimate,Lara said she can loan me  &lt;#&gt; .
legitimate,Do we have any spare power supplies
legitimate,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
phishing,You are a winner you have been specially selected to receive Â£1000 cash or a Â£2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
legitimate,"Yeah, don't go to bed, I'll be back before midnight"
phishing,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
legitimate,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
legitimate,"It's that time of the week again, ryan"
legitimate,Wish u many many returns of the day.. Happy birthday vikky..
phishing,"U can WIN Â£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
legitimate,I hope you know I'm still mad at you.
legitimate,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
legitimate,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
legitimate,Do you know when the result.
phishing,#ERROR!
legitimate,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
legitimate,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
legitimate,You do got a shitload of diamonds though
legitimate,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
legitimate,Well I'm going to be an aunty!
legitimate,Mine here like all fr china then so noisy.
legitimate,Later i guess. I needa do mcat study too.
legitimate,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
phishing,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
legitimate,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
legitimate,If he started searching he will get job in few days.he have great potential and talent.
legitimate,"Carlos took a while (again), we leave in a minute"
legitimate,Well done and ! luv ya all
legitimate,Then why you came to hostel.
legitimate,K still are you loving me.
legitimate,But i juz remembered i gotta bathe my dog today..
legitimate,After the drug she will be able to eat.
legitimate,Alright took the morphine. Back in yo.
legitimate,You see the requirements please
legitimate,You stayin out of trouble stranger!!saw Dave the other day heÂs sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!
phishing,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts
phishing,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
legitimate,So can collect ur laptop?
legitimate,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk."
legitimate,I will once i get home
legitimate,Waaaat?? Lololo ok next time then!
legitimate,"The table's occupied, I'm waiting by the tree"
legitimate,I surely dont forgot to come:)i will always be in touch in with you:-)
legitimate,Hi kindly give us back our documents which we submitted for loan from STAPATI
legitimate,I dont have i shall buy one dear
legitimate,Oh god i am happy to see your message after 3 days
legitimate,What year. And how many miles.
legitimate,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.
legitimate,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
legitimate,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
phishing,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+
legitimate,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
legitimate,Is she replying. Has boye changed his phone number
legitimate,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
legitimate,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
legitimate,"Nothing really, just making sure everybody's up to speed"
legitimate,I'm not coming home 4 dinner.
legitimate,"Thank you. And by the way, I just lost."
legitimate,Yes.he have good crickiting mind
legitimate,Thx. All will be well in a few months
phishing,"Shop till u Drop, IS IT YOU, either 10K, 5K, Â£500 Cash or Â£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
legitimate,"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO"
legitimate,I wont. So wat's wit the guys
legitimate,Yavnt tried yet and never played original either
legitimate,"Hiya, had a good day? Have you spoken to since the weekend?"
legitimate,See? I thought it all through
legitimate,I'm at work. Please call
legitimate,get ready to moan and scream :)
legitimate,Oh k :)why you got job then whats up?
legitimate,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
legitimate,And popping &lt;#&gt; ibuprofens was no help.
legitimate,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
legitimate,Ok.
legitimate,PS U no ur a grown up now right?
legitimate,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
legitimate,I know a few people I can hit up and fuck to the yes
legitimate,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
legitimate,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
legitimate,Oh god. I'm gonna Google nearby cliffs now.
phishing,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
legitimate,Yup i shd haf ard 10 pages if i add figures... Ã all got how many pages?
legitimate,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too."
legitimate,Thankyou so much for the call. I appreciate your care.
legitimate,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.
legitimate,I called but no one pick up e phone. I ask both of them already they said ok.
legitimate,Hi my email address has changed now it is
legitimate,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
legitimate,"Not much, just some textin'. How bout you?"
legitimate,Bring it if you got it
legitimate,I'm in a movie. Call me 4 wat?
legitimate,Not sure I have the stomach for it ...
legitimate,Haha... can... But i'm having dinner with my cousin...
legitimate,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP"""
legitimate,"(And my man carlos is definitely coming by mu tonight, no excuses)"
legitimate,soon you will have the real thing princess! Do i make you wet? :)
legitimate,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
legitimate,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
phishing,"URGENT! Your mobile No 07xxxxxxxxx won a Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
legitimate,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.
phishing,"URGENT!! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins"
legitimate,"Hmm well, night night"
legitimate,Just wanted to say holy shit you guys weren't kidding about this bud
legitimate,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
legitimate,"This is one of the days you have a billion classes, right?"
legitimate,"Goodmorning, today i am late for 2hrs. Because of back pain."
legitimate,Ok then i'll let him noe later n ask him call u tmr...
legitimate,Prabha..i'm soryda..realy..frm heart i'm sory
legitimate,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
legitimate,* Will have two more cartons off u and is very pleased with shelves
legitimate,Nice talking to you! please dont forget my pix :) i want to see all of you...
phishing,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
legitimate,But really quite funny lor wat... Then u shd haf run shorter distance wat...
legitimate,I notice you like looking in the shit mirror youre turning into a right freak
legitimate,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
phishing,"Thanks for your ringtone order, ref number K718. Your mobile will be charged Â£4.50. Should your tone not arrive please call customer services on 09065069120"
legitimate,"I prefer my free days... Tues, wed, fri oso can... Ã ask those workin lor..."
legitimate,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx
legitimate,If you have belive me. Come to my home.
legitimate,Oh k.k..where did you take test?
legitimate,Those were my exact intentions
legitimate,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
legitimate,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
legitimate,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
legitimate,Nothing just getting msgs by dis name wit different no's..
legitimate,Good Morning plz call me sir
legitimate,What's your room number again? Wanna make sure I'm knocking on the right door
legitimate,"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtÂbraindanceÂa comp.ofstuff on aphexÂs ;abel,u hav2hear it!c u sn xxxx"
legitimate,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
legitimate,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
legitimate,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
legitimate,Every day i use to sleep after  &lt;#&gt;  so only.
legitimate,K I'll call you when I'm close
legitimate,U buy newspapers already?
legitimate,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
legitimate,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
legitimate,No management puzzeles.
legitimate,How did you find out in a way that didn't include all of these details
